Condition,Medication,Patient_Count,Pct_Within_Condition,Avg_Risk_Score
Asthma,ATORVASTATIN,46,26.14,1.78
Asthma,ALBUTEROL,34,19.32,2.00
Asthma,NONE,34,19.32,1.97
Asthma,LISINOPRIL,32,18.18,2.00
Asthma,METFORMIN,30,17.05,2.03
Diabetes,METFORMIN,40,22.73,1.88
Diabetes,LISINOPRIL,38,21.59,1.84
Diabetes,ATORVASTATIN,36,20.45,1.86
Diabetes,ALBUTEROL,32,18.18,1.94
Diabetes,NONE,30,17.05,2.03
"Heart Disease",ATORVASTATIN,46,26.59,1.91
"Heart Disease",METFORMIN,39,22.54,1.72
"Heart Disease",ALBUTEROL,34,19.65,1.91
"Heart Disease",NONE,32,18.50,1.94
"Heart Disease",LISINOPRIL,22,12.72,1.77
Hypertension,ATORVASTATIN,31,22.30,1.77
Hypertension,NONE,29,20.86,1.79
Hypertension,METFORMIN,29,20.86,2.14
Hypertension,LISINOPRIL,27,19.42,1.81
Hypertension,ALBUTEROL,23,16.55,1.91
Unknown,NONE,42,24.71,0.64
Unknown,ALBUTEROL,40,23.53,0.93
Unknown,LISINOPRIL,31,18.24,0.74
Unknown,METFORMIN,29,17.06,1.00
Unknown,ATORVASTATIN,28,16.47,1.07
